日期            确诊           疑似            治愈             死亡
1-12		41		/		0		1
1-13		41		/		0		1
1-14		41		/		0		1
1-15		41		/		0		2
1-16		45		/		0		2
1-17		62		/		0		2
1-18		198		/		0		3
1-19		201		/		0		3
1-20		218		6		0		4
1-21		291		9		0		4
1-22		559		146		0		17
1-23		634		422		30		17
1-24		897		1076		36		26
1-25		1408		2032		39		42
1-26		2076		2692		49		56
1-27		2846		5794		56		81
1-28		4630		6973		73		106
1-29		6095		9239		119		133
1-30		8149		12167		135		171
1-31		9811		15238		214		213
2-01		11901		17988		275		259
2-02		14490		19544		434		304
2-03		17341		21558		527		361
2-04		20530		23214		718		426
2-05		24434		23260		1018		493
2-06		28065		24702		1189		564
2-07		31264		26359		1753		637
2-08		34598		27657		2052		723
2-09		37289		28942		2900		813
2-10		40262		23589		3551		909
2-11		42747		21675		4301		1017
2-12		44765		16067		5066		1116
2-13		59907		13435		6215		1368
2-14		63950		10109		7092		1382
2-15		66581		8969		8494		1524
2-16		68595		8228		9763		1667
2-17		70644		7264		11278		1772
2-18		72532		6242		13003		1872
2-19		74284		5248		14938		2009
2-20		74680		4922		16721		2122
2-21		75571		5206		18687		2239
2-22		76396		5365		21075		2348
2-23		77048		4148		23183		2445
2-24		77269		3434		25007		2596
2-25		77785		2824		27655		2666
2-26		78195		2491		30078		2718
2-27		78631		2358		32916		2747
2-28		78962		2308		36312		2791
2-29		79394		1418		39308		2838
3-1		79972		851		42162		2873
3-2		80175		715		44845		2915
3-3		80303		587		47434		2948
3-4		80424		520		50010		2984
